Date,Area,Location,lat,lon,Common.Name,Species.Name,Fate,Reason.for.Euthanasia,Marine.Park
05/07/2021,Townsville,Radical Bay,-19.11297475,146.8750861,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
12/07/2021,Townsville,Radical Bay,-19.11297475,146.8750861,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
13/07/2021,Townsville,Radical Bay,-19.11297475,146.8750861,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
26/07/2021,Townsville,Radical Bay,-19.11297475,146.8750861,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
03/08/2021,Townsville,Radical Bay,-19.11297475,146.8750861,BLACKTIP REEF WHALER,Carcharhinus melanopterus,Deceased,,Commonwealth
03/08/2021,Townsville,Radical Bay,-19.11297475,146.8750861,SPOT-TAIL WHALER,Carcharhinus sorrah,Released Alive,,Commonwealth
27/10/2021,Townsville,Radical Bay,-19.11297475,146.8750861,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
17/11/2021,Townsville,Radical Bay,-19.11297475,146.8750861,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
30/11/2021,Townsville,Radical Bay,-19.11297475,146.8750861,PIGEYE WHALER,Carcharhinus amboinensis,Released Alive,,Commonwealth
08/12/2021,Townsville,Radical Bay,-19.11297475,146.8750861,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
09/12/2021,Townsville,Radical Bay,-19.11297475,146.8750861,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
22/03/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
25/04/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
19/06/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Euthanised,Humane Grounds,Commonwealth
10/07/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
14/08/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
29/08/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
09/09/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
11/10/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
21/10/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
23/10/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,SHARPTOOTH/LEMON SHARK,Negaprion brevirostris,Released Alive,,Commonwealth
28/10/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,SHARPTOOTH/LEMON SHARK,Negaprion brevirostris,Released Alive,,Commonwealth
05/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
06/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
06/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
20/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
20/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
20/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
27/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,SHARPTOOTH/LEMON SHARK,Negaprion brevirostris,Released Alive,,Commonwealth
28/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
30/11/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
01/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
01/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
02/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
03/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
08/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Released Alive,,Commonwealth
08/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
14/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Released Alive,,Commonwealth
14/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Released Alive,,Commonwealth
15/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
23/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TAWNY SHARK,Nebrius ferrugineus,Released Alive,,Commonwealth
27/12/2021,Capricorn Coast,Tanby Point,-23.23681,150.82731,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
14/02/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
23/04/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Euthanised,Target Species,State
03/05/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
06/06/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
13/06/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Euthanised,Target Species,State
17/06/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Euthanised,Target Species,State
11/09/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,State
18/09/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Euthanised,Target Species,State
14/10/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Euthanised,Target Species,State
20/10/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,State
06/11/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,State
06/11/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,SCALLOPED HAMMERHEAD,Sphyrna lewini,Deceased,,State
30/11/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Euthanised,Target Species,State
17/12/2021,Gladstone,Tannum Sands,-23.95551285,151.376462,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
06/02/2021,Cairns,Trinity,-16.79092905,145.6922246,TIGER SHARK,Galeocerdo cuvier,Deceased,,Commonwealth
24/03/2021,Cairns,Trinity,-16.79092905,145.6922246,GREAT HAMMERHEAD,Sphyrna mokarran,Deceased,,Commonwealth
16/04/2021,Cairns,Trinity,-16.79092905,145.6922246,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
27/04/2021,Cairns,Trinity,-16.79092905,145.6922246,SPINNER SHARK,Carcharhinus brevipinna,Deceased,,Commonwealth
15/07/2021,Cairns,Trinity,-16.79092905,145.6922246,TIGER SHARK,Galeocerdo cuvier,Deceased,,Commonwealth
01/09/2021,Cairns,Trinity,-16.79092905,145.6922246,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,State
27/11/2021,Cairns,Trinity,-16.79092905,145.6922246,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,State
09/12/2021,Cairns,Trinity,-16.79092905,145.6922246,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
19/02/2021,Capricorn Coast,Yeppoon Beach,-23.140223,150.740833,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
19/04/2021,Capricorn Coast,Yeppoon Beach,-23.140223,150.740833,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
25/10/2021,Capricorn Coast,Yeppoon Beach,-23.140223,150.740833,COD,Epinephelus sp.,Released Alive,,Commonwealth
05/12/2021,Capricorn Coast,Yeppoon Beach,-23.140223,150.740833,AUSTRALIAN SHARPNOSE SHARK,Rhizoprionodon taylori,Deceased,,Commonwealth
24/12/2021,Capricorn Coast,Yeppoon Beach,-23.148391,150.72055,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
12/02/2021,Cairns,Yorkeys,-16.802776,145.720825,BULL WHALER,Carcharhinus leucas,Deceased,,State
